                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1597,                0.56957,                 2.3773,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.080206,             0.00019994,             0.00019994
                      2,                 1.4236,                0.35347,                 1.6414,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.060402,             0.00039598,             0.00039598
                      3,                  1.251,                0.30188,                 1.4965,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.040594,             0.00058806,             0.00058806
                      4,                 1.1469,                0.26793,                 1.4169,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.020783,             0.00077618,             0.00077618
                      5,                 1.0831,                0.24879,                 1.3711,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00096668,             0.00096034,             0.00096034
                      6,                 1.0427,                0.23379,                 1.3412,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.0055,                0.22277,                 1.3107,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009406,              0.0009406,              0.0009406
                      8,                0.97578,                0.21105,                 1.2902,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009307,              0.0009307,              0.0009307
                      9,                0.96452,                0.20685,                 1.2791,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009208,              0.0009208,              0.0009208
                     10,                0.94654,                0.20051,                 1.2672,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009109,              0.0009109,              0.0009109
                     11,                 0.9334,                0.19358,                 1.2537,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000901,               0.000901,               0.000901
                     12,                0.91499,                0.18905,                 1.2432,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008911,              0.0008911,              0.0008911
                     13,                0.90359,                0.18599,                 1.2366,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008812,              0.0008812,              0.0008812
                     14,                0.90453,                0.18373,                 1.2366,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008713,              0.0008713,              0.0008713
                     15,                0.88824,                0.17769,                 1.2188,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008614,              0.0008614,              0.0008614
                     16,                0.87312,                0.17463,                 1.2103,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008515,              0.0008515,              0.0008515
                     17,                0.87644,                0.17385,                 1.2142,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008416,              0.0008416,              0.0008416
                     18,                0.86982,                0.17054,                 1.2062,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008317,              0.0008317,              0.0008317
                     19,                0.85576,                0.16734,                 1.1967,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008218,              0.0008218,              0.0008218
                     20,                0.85708,                0.16582,                 1.1965,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008119,              0.0008119,              0.0008119
                     21,                0.85309,                0.16483,                 1.1944,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000802,               0.000802,               0.000802
                     22,                0.84628,                0.16257,                 1.1882,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007921,              0.0007921,              0.0007921
                     23,                0.84495,                0.16119,                 1.1874,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007822,              0.0007822,              0.0007822
                     24,                0.84052,                0.16068,                 1.1811,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007723,              0.0007723,              0.0007723
                     25,                0.83627,                0.15907,                 1.1824,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007624,              0.0007624,              0.0007624
                     26,                0.83192,                 0.1569,                  1.173,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007525,              0.0007525,              0.0007525
                     27,                 0.8268,                0.15535,                 1.1723,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007426,              0.0007426,              0.0007426
                     28,                0.82616,                0.15509,                 1.1698,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007327,              0.0007327,              0.0007327
                     29,                0.81824,                 0.1525,                 1.1623,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007228,              0.0007228,              0.0007228
                     30,                0.81825,                0.15316,                 1.1678,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007129,              0.0007129,              0.0007129
                     31,                0.80173,                0.14846,                 1.1535,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000703,               0.000703,               0.000703
                     32,                0.80963,                0.14888,                 1.1574,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006931,              0.0006931,              0.0006931
                     33,                0.80421,                0.14669,                 1.1519,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006832,              0.0006832,              0.0006832
                     34,                0.80623,                0.14845,                 1.1564,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006733,              0.0006733,              0.0006733
                     35,                0.79867,                0.14569,                  1.151,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006634,              0.0006634,              0.0006634
                     36,                0.79707,                0.14412,                 1.1461,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006535,              0.0006535,              0.0006535
                     37,                0.78414,                0.14124,                 1.1398,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006436,              0.0006436,              0.0006436
                     38,                0.79029,                0.14212,                 1.1431,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006337,              0.0006337,              0.0006337
                     39,                0.78537,                 0.1418,                 1.1392,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006238,              0.0006238,              0.0006238
                     40,                0.78663,                0.14162,                 1.1415,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006139,              0.0006139,              0.0006139
                     41,                0.78313,                0.14025,                 1.1376,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000604,               0.000604,               0.000604
                     42,                0.78138,                0.13921,                 1.1362,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005941,              0.0005941,              0.0005941
                     43,                0.78278,                0.13898,                 1.1391,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005842,              0.0005842,              0.0005842
                     44,                0.77669,                0.13787,                 1.1323,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005743,              0.0005743,              0.0005743
                     45,                0.77396,                0.13725,                 1.1289,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005644,              0.0005644,              0.0005644
                     46,                0.76507,                0.13502,                 1.1271,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005545,              0.0005545,              0.0005545
                     47,                0.76975,                 0.1358,                  1.128,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005446,              0.0005446,              0.0005446
                     48,                0.76349,                0.13358,                 1.1218,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005347,              0.0005347,              0.0005347
                     49,                0.76499,                0.13387,                 1.1224,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005248,              0.0005248,              0.0005248
                     50,                0.76437,                0.13226,                   1.12,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005149,              0.0005149,              0.0005149
                     51,                0.76353,                0.13369,                 1.1175,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000505,               0.000505,               0.000505
                     52,                0.76376,                0.13277,                 1.1213,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004951,              0.0004951,              0.0004951
                     53,                0.75173,                0.13008,                 1.1135,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004852,              0.0004852,              0.0004852
                     54,                0.75662,                0.12986,                  1.115,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004753,              0.0004753,              0.0004753
                     55,                0.75189,                0.12966,                 1.1129,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004654,              0.0004654,              0.0004654
                     56,                0.75325,                0.13017,                 1.1106,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004555,              0.0004555,              0.0004555
                     57,                0.74753,                0.12835,                 1.1109,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004456,              0.0004456,              0.0004456
                     58,                0.75165,                0.12899,                 1.1131,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004357,              0.0004357,              0.0004357
                     59,                0.73981,                0.12704,                 1.1017,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004258,              0.0004258,              0.0004258
                     60,                0.74092,                 0.1258,                 1.1032,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004159,              0.0004159,              0.0004159
                     61,                0.73272,                 0.1246,                 1.0982,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000406,               0.000406,               0.000406
                     62,                 0.7359,                0.12503,                 1.0995,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003961,              0.0003961,              0.0003961
                     63,                0.73378,                0.12361,                  1.099,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003862,              0.0003862,              0.0003862
                     64,                0.72908,                0.12304,                 1.0952,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003763,              0.0003763,              0.0003763
